epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,562.577,1.31634,3.07,1.15737,0.28595,0.2323,0.1948,0.12815,1.19729,2.25969,1.07969,0.00030027,0.00030027,0.00030027
2,874.808,1.29039,1.87141,1.13825,0.50936,0.29734,0.31345,0.20353,1.26184,2.17261,1.13307,0.000591326,0.000591326,0.000591326
3,1190.26,1.27515,1.61959,1.14247,0.54234,0.34911,0.35684,0.2437,1.17104,1.6248,1.09541,0.000870382,0.000870382,0.000870382
4,1504.68,1.25013,1.52588,1.12772,0.67426,0.35323,0.40476,0.27923,1.13257,1.38343,1.09628,0.000855005,0.000855005,0.000855005
5,1816.24,1.20444,1.40068,1.10894,0.66045,0.39509,0.42548,0.29516,1.10337,1.32369,1.05314,0.000837007,0.000837007,0.000837007
6,2129.02,1.18225,1.29473,1.1034,0.68951,0.36509,0.42497,0.29025,1.07205,1.26078,1.05175,0.000819009,0.000819009,0.000819009
7,2441.1,1.15789,1.24562,1.0904,0.73002,0.40307,0.45627,0.32128,1.03538,1.2062,1.02359,0.000801011,0.000801011,0.000801011
8,2752.04,1.1218,1.20248,1.06924,0.61149,0.40933,0.43823,0.3098,1.05376,1.1808,1.03441,0.000783013,0.000783013,0.000783013
9,3062.25,1.11469,1.1806,1.07418,0.72102,0.38741,0.45632,0.32525,0.99307,1.09234,1.01972,0.000765014,0.000765014,0.000765014
10,3369.8,1.09029,1.12936,1.05852,0.73485,0.43177,0.47128,0.33914,0.97035,1.11063,1.00635,0.000747016,0.000747016,0.000747016
11,3678.55,1.08712,1.10745,1.05291,0.66127,0.43903,0.47095,0.33048,0.97624,1.13068,1.01708,0.000729018,0.000729018,0.000729018
12,3988.69,1.05979,1.05968,1.0488,0.83185,0.42801,0.50565,0.35071,0.97014,0.97002,0.99767,0.00071102,0.00071102,0.00071102
13,4300.46,1.03341,1.00217,1.03929,0.76554,0.42751,0.49322,0.35765,0.93614,0.95108,0.99364,0.000693022,0.000693022,0.000693022
14,4613.19,1.03512,0.99733,1.03406,0.76968,0.44645,0.50775,0.36817,0.93995,0.92909,0.98683,0.000675023,0.000675023,0.000675023
15,4925.25,1.00471,0.9632,1.02257,0.75817,0.45265,0.51208,0.37055,0.94222,0.94109,0.98499,0.000657025,0.000657025,0.000657025
16,5233.91,1.01266,0.962,1.02693,0.74452,0.46257,0.52278,0.37448,0.91376,0.90039,0.98109,0.000639027,0.000639027,0.000639027
17,5543.03,0.9952,0.94475,1.01986,0.78516,0.45571,0.52146,0.37831,0.92305,0.86795,0.97479,0.000621029,0.000621029,0.000621029
18,5852.61,0.97553,0.90312,1.01166,0.80536,0.4379,0.51228,0.3791,0.89648,0.86039,0.97243,0.000603031,0.000603031,0.000603031
19,6162.93,0.97488,0.89058,1.00644,0.81161,0.43154,0.51633,0.37514,0.9291,0.86788,0.97781,0.000585032,0.000585032,0.000585032
20,6472.85,0.9727,0.87741,1.00641,0.80357,0.47136,0.54185,0.38964,0.89661,0.83164,0.96696,0.000567034,0.000567034,0.000567034
21,6782.28,0.95942,0.84934,1.00635,0.74955,0.45991,0.51723,0.37673,0.89748,0.87766,0.97673,0.000549036,0.000549036,0.000549036
22,7093.05,0.9501,0.8467,1.00254,0.78981,0.45871,0.52971,0.38843,0.89494,0.85175,0.96726,0.000531038,0.000531038,0.000531038
23,7403.13,0.92881,0.8175,0.99868,0.73061,0.49503,0.54455,0.39461,0.88483,0.77994,0.96301,0.00051304,0.00051304,0.00051304
24,7711.66,0.92665,0.82613,0.98957,0.75375,0.48692,0.54178,0.39776,0.86134,0.79982,0.95275,0.000495041,0.000495041,0.000495041
25,8020.4,0.93296,0.82181,0.99485,0.79051,0.46738,0.53396,0.38778,0.87695,0.83507,0.95337,0.000477043,0.000477043,0.000477043
26,8328.74,0.92737,0.80776,0.99029,0.86211,0.45292,0.54762,0.40491,0.84583,0.7674,0.94533,0.000459045,0.000459045,0.000459045
27,8637.18,0.90755,0.78062,0.98748,0.82454,0.47909,0.55637,0.40856,0.85365,0.75498,0.96477,0.000441047,0.000441047,0.000441047
28,9049.97,0.88057,0.77158,0.97627,0.81878,0.50706,0.57021,0.41352,0.85195,0.75675,0.9507,0.000423049,0.000423049,0.000423049
29,9528.4,0.90265,0.79466,0.98169,0.81178,0.50348,0.57058,0.41215,0.84606,0.76248,0.94624,0.00040505,0.00040505,0.00040505
30,10007.3,0.89555,0.76671,0.9776,0.81586,0.4902,0.56894,0.41421,0.84417,0.7312,0.94578,0.000387052,0.000387052,0.000387052
31,10484.3,0.88533,0.76354,0.9767,0.78404,0.5091,0.56679,0.41404,0.83565,0.74941,0.94784,0.000369054,0.000369054,0.000369054
32,10963.5,0.86277,0.74806,0.96872,0.8274,0.48728,0.56404,0.41636,0.81711,0.723,0.94887,0.000351056,0.000351056,0.000351056
33,11442.5,0.86672,0.73947,0.96613,0.77973,0.49684,0.54886,0.41004,0.81351,0.73662,0.95065,0.000333058,0.000333058,0.000333058
34,11920.1,0.84968,0.71259,0.95889,0.88271,0.47009,0.56564,0.41811,0.81714,0.71014,0.95656,0.000315059,0.000315059,0.000315059
35,12398.7,0.83599,0.7001,0.95806,0.82881,0.49759,0.57211,0.41926,0.79404,0.70248,0.93448,0.000297061,0.000297061,0.000297061
36,12874.3,0.83814,0.70339,0.95881,0.82761,0.50011,0.57595,0.42759,0.79743,0.71093,0.93486,0.000279063,0.000279063,0.000279063
37,13350.5,0.81952,0.68735,0.95517,0.8642,0.49353,0.58103,0.42861,0.79443,0.70412,0.93679,0.000261065,0.000261065,0.000261065
38,13830.7,0.81058,0.66824,0.95203,0.82106,0.50999,0.58222,0.42926,0.78373,0.68914,0.9267,0.000243067,0.000243067,0.000243067
39,14311.7,0.8223,0.67703,0.95263,0.82344,0.51568,0.58227,0.4302,0.79247,0.68693,0.93463,0.000225068,0.000225068,0.000225068
